Name,address1,city,zip,country,latitude,longitude,price_level,provider_rating,provider_review_count,review_stats_all_average_score,review_stats_all_count,review_stats_all_total_score,review_stats_community_average_score,review_stats_community_count,review_stats_community_total_score,review_stats_critic_average_score,review_stats_critic_count,review_stats_critic_total_score,review_stats_dave_average_score,review_stats_dave_count,review_stats_dave_total_score
Teresa's Brick Oven Pizza &amp; Cafe,51 W 51st St,New York,10019,US,40.7603402,-73.9790395,1,3,95,6.592307692,13,85.7,6.533333333,12,78.4,0,0,0,7.3,1,7.3
Pizza Da Solo,550 Madison Ave,New York,10022,US,40.7615215,-73.9735986,2,3,26,7.8,1,7.8,0,0,0,0,0,0,7.8,1,7.8
Kiss My Slice,274 W 40th St,New York,10018,US,40.7557265,-73.9905152,1,4,178,6.488235294,17,110.3,6.466666667,15,97,7,1,7,6.3,1,6.3
Harry's Italian Pizza Bar,30 Rockefeller Plz,New York,10112,US,40.7593755,-73.9799726,1,3.5,125,7.6,15,114,7.621428571,14,106.7,0,0,0,7.3,1,7.3
Upside Pizza,598 8th Ave,New York,10018,US,40.755125,-73.9910524,0,4,55,7.536842105,19,143.2,7.544444444,18,135.8,0,0,0,7.4,1,7.4
Sofia Pizza Shoppe,989 1st Ave,New York,10022,US,40.7566759,-73.9643508,1,4.5,156,7.718181818,11,84.9,7.7,10,77,0,0,0,7.9,1,7.9
Marinara Pizza,985 1st Ave,New York,10022,US,40.7565439,-73.9644294,1,3.5,68,6.9375,8,55.5,6.885714286,7,48.2,0,0,0,7.3,1,7.3
Cassiano's Pizza,930 3rd Ave,New York,10022,US,40.7595458,-73.9683607,1,3,102,6.2,10,62,6.0625,8,48.5,6.9,1,6.9,6.6,1,6.6
Primavera Pizza &amp; Pasta,1005 2nd Ave,New York,10022,US,40.7570286,-73.9672695,1,3,71,6.155555556,9,55.4,6.0875,8,48.7,0,0,0,6.7,1,6.7
Belmora Pizza &amp; Restaurant,139 E 57th St,New York,10022,US,40.761057,-73.9687578,1,2.5,64,5.06,5,25.3,4.725,4,18.9,0,0,0,6.4,1,6.4
Zia Maria-Chelsea,318 W 23rd St,New York,10011,US,40.7454027,-73.9993382,2,4,192,7.575,4,30.3,7.733333333,3,23.2,0,0,0,7.1,1,7.1
Joe's Pizza,211 8th Ave,New York,10011,US,40.743953,-73.999752,1,2.5,48,6.19,10,61.9,6.011111111,9,54.1,0,0,0,7.8,1,7.8
NY Pizza Suprema,413 8th Ave,New York,10001,US,40.750205,-73.995321,1,4,1729,7.891071429,112,883.8,7.888288288,111,875.6,0,0,0,8.2,1,8.2
3 Giovani,548 Laguardia Pl,New York,10012,US,40.7290573,-73.9983778,2,3.5,120,7,2,14,6.3,1,6.3,0,0,0,7.7,1,7.7
Rock Pizza Scissors,Broadway Between 42nd And 43rd St,New York,10036,US,40.757071,-73.9876474,0,3.5,14,6.066666667,6,36.4,5.7,5,28.5,0,0,0,7.9,1,7.9
Ben's Pizzeria,123 MacDougal St,New York,10012,US,40.7303784,-74.0003231,1,3.5,256,5.95,8,47.6,6.028571429,7,42.2,0,0,0,5.4,1,5.4
Olio e Pi,3 Greenwich Ave,New York,10014,US,40.7338794,-73.9999408,2,4,1607,5.75,2,11.5,6.3,1,6.3,0,0,0,5.2,1,5.2
D Napoli Pizza,906 3rd Ave,New York,10022,US,40.758842,-73.9689802,1,3,38,5.2,1,5.2,0,0,0,0,0,0,5.2,1,5.2
My Pie Pizzeria Romana,690 Lexington Ave,New York,10022,US,40.7606993,-73.9695477,1,4.5,633,5.86,5,29.3,6.25,4,25,0,0,0,4.3,1,4.3
Angelo Bellini,224 E 53rd St,New York,10022,US,40.7571427,-73.9684855,2,3,109,6.5,4,26,7.3,2,14.6,5.7,1,5.7,5.7,1,5.7
Pizza By Cert,132 E 56th St,New York,10022,US,40.7603114,-73.9700904,1,4,392,6.9,2,13.8,7.2,1,7.2,0,0,0,6.6,1,6.6
La Vera Pizzeria &amp; Restaurant,922 2nd Ave,New York,10017,US,40.7540761,-73.9688452,1,3,84,6.711111111,9,60.4,6.775,8,54.2,0,0,0,6.2,1,6.2
Aperitivo Pizza Bar,780 3rd Ave,New York,10017,US,40.7550182,-73.9718457,2,3,168,6.8,1,6.8,0,0,0,0,0,0,6.8,1,6.8
La Bellezza,145 E 49th St,New York,10017,US,40.7558161,-73.9720294,1,4,248,7.236,25,180.9,7.2125,24,173.1,0,0,0,7.8,1,7.8
La Trattoria,844 2nd Ave,New York,10017,US,40.7515735,-73.970671,1,2.5,52,6.64,5,33.2,6.6,4,26.4,0,0,0,6.8,1,6.8
Patsy's Pizzeria,801 2nd Ave,New York,10017,US,40.7504432,-73.9720574,2,3.5,210,8.373529412,34,284.7,8.366666667,33,276.1,0,0,0,8.6,1,8.6
Picciotto NYC,300 Park Ave,New York,10022,US,40.7570209,-73.9746695,1,4,15,7.133333333,3,21.4,6.5,2,13,0,0,0,8.4,1,8.4
Jiannetto's Pizza Truck,47th St &amp; Park Ave,New York,10017,US,40.760405,-73.9874535,1,4,20,8.4,6,50.4,8.225,4,32.9,9.4,1,9.4,8.1,1,8.1
Deli On Madison,420 Madison Ave,New York,10017,US,40.7570116,-73.9765061,1,2.5,50,6,2,12,0,0,0,5.9,1,5.9,6.1,1,6.1
Naples 45 Ristorante E Pizzeria,The Metlife Building,New York,10166,US,40.7535178,-73.9767512,2,3.5,345,5.1,1,5.1,0,0,0,0,0,0,5.1,1,5.1
Uncle Paul's Pizza,70 Vanderbilt Ave,New York,10017,US,40.7548319,-73.9768992,2,3.5,323,6.142857143,14,86,6.223076923,13,80.9,0,0,0,5.1,1,5.1
Previti Pizza,123 E 41st St,New York,10168,US,40.7510051,-73.9767973,1,4,380,5,6,30,5.02,5,25.1,0,0,0,4.9,1,4.9
Royal Pizza,592 3rd Ave,New York,10016,US,40.7488024,-73.9762776,1,3.5,109,6.855555556,18,123.4,6.817647059,17,115.9,0,0,0,7.5,1,7.5
Prova Pizzabar,89 E 42nd St,New York,10017,US,40.7527277,-73.9772353,1,3,75,6.019047619,21,126.4,5.878947368,19,111.7,7.3,1,7.3,7.4,1,7.4
Giuseppe's Pizza,341 Lexington Ave,New York,10016,US,40.7496668,-73.9769653,1,3.5,90,6.916666667,6,41.5,7.2,4,28.8,6.5,1,6.5,6.2,1,6.2
Garlic New York Pizza Bar,629 2nd Ave,New York,10016,US,40.7451535,-73.975869,1,3.5,396,7.563636364,11,83.2,7.64,10,76.4,0,0,0,6.8,1,6.8
Lions &amp; Tigers &amp; Squares Detroit Pizza,268 W 23rd St,New York,10011,US,40.7450574,-73.9983379,1,4.5,261,7.517241379,29,218,7.532142857,28,210.9,0,0,0,7.1,1,7.1
Lombardi's pizza,290 8th Ave,New York,10001,US,40.7462466,-73.9974449,0,4,62,7.882352941,17,134,7.86875,16,125.9,0,0,0,8.1,1,8.1
Famous Famiglia Pizzeria,488 8th Ave,New York,10001,US,40.7524427,-73.9930147,1,3,101,6.980769231,26,181.5,6.964,25,174.1,0,0,0,7.4,1,7.4
Famous Amadeus Pizza,408 8th Ave,New York,10001,US,40.7498097,-73.9947843,1,3,206,6.042857143,7,42.3,6.1,6,36.6,0,0,0,5.7,1,5.7
Amtrak,234 W 31st St,New York,10001,US,40.7496468,-73.993399,0,3,345,0.54,2,1.08,1,1,1,0,0,0,0.08,1,0.08
Nicoletta Pizzeria,160 2nd Ave,New York,10003,US,40.7297781,-73.9865052,2,3.5,284,8.183333333,6,49.1,8.2,5,41,0,0,0,8.1,1,8.1
Lazzara's Pizza,221 W 38th St,New York,10018,US,40.7540255,-73.9895336,2,3.5,232,8.511374408,211,1795.9,8.507619048,210,1786.6,0,0,0,9.3,1,9.3
Rocky's Number II,607 2nd Ave,New York,10016,US,40.7443961,-73.976455,1,3.5,286,5.7,7,39.9,6.183333333,6,37.1,0,0,0,2.8,1,2.8
Posto,310 2nd Ave,New York,10003,US,40.7348297,-73.9828007,2,4,580,6.9,4,27.6,6.9,2,13.8,7,1,7,6.8,1,6.8
Patrizia's Pizza and Pasta,462-466 2nd Ave,New York,10016,US,40.7399505,-73.9789431,2,4,491,7.7125,8,61.7,7.685714286,7,53.8,0,0,0,7.9,1,7.9
Mike's Pizza,415 2nd Ave,New York,10010,US,40.7385388,-73.9806841,1,3.5,84,7.4,11,81.4,7.37,10,73.7,0,0,0,7.7,1,7.7
Joey Pepperoni's Pizza,493 2nd Ave,New York,10016,US,40.7409664,-73.9789915,1,4,74,5.4,4,21.6,5.233333333,3,15.7,0,0,0,5.9,1,5.9
Libretto's Pizzeria,546 3rd Ave,New York,10016,US,40.7473317,-73.977338,1,3.5,152,6.390909091,11,70.3,6.64,10,66.4,0,0,0,3.9,1,3.9
Brick Oven Pizza 33,489 Third Ave,New York,10016,US,40.7450509,-73.9782801,1,3,290,7.736363636,33,255.3,7.721875,32,247.1,0,0,0,8.2,1,8.2
Chelsea Pizza 23,268 W 23rd St,New York,10011,US,40.7450574,-73.9983379,1,3,68,5.9,1,5.9,0,0,0,0,0,0,5.9,1,5.9
J's Pizza,98 7th Ave,New York,10011,US,40.7398901,-73.9989915,1,4,113,6.366666667,3,19.1,6.15,2,12.3,0,0,0,6.8,1,6.8
Rocco's Pizza Joint,162 7th Ave,New York,10011,US,40.7421817,-73.9974193,1,3.5,96,7.08,25,177,7.033333333,24,168.8,0,0,0,8.2,1,8.2
